,date,state,handgun,long_gun,multiple
200,2016-12-01,Florida,69842.0,39880.0,2595
201,2016-12-01,Iowa,391.0,4822.0,3
202,2016-12-01,Nevada,6783.0,4696.0,411
203,2016-12-01,Ohio,40996.0,29641.0,1531
204,2016-11-01,Florida,62351.0,35718.0,2701
205,2016-11-01,Iowa,399.0,5112.0,13
206,2016-11-01,Nevada,6338.0,4291.0,436
207,2016-11-01,Ohio,37304.0,32312.0,1694
208,2016-10-01,Florida,50003.0,27010.0,2302
209,2016-10-01,Iowa,221.0,3557.0,11
210,2016-10-01,Nevada,5614.0,3471.0,378
211,2016-10-01,Ohio,30593.0,21991.0,1521
212,2016-09-01,Florida,45848.0,22439.0,1891
213,2016-09-01,Iowa,154.0,2694.0,8
214,2016-09-01,Nevada,4281.0,2764.0,272
215,2016-09-01,Ohio,24297.0,18038.0,1121
216,2016-08-01,Florida,49867.0,23359.0,1877
217,2016-08-01,Iowa,182.0,2345.0,3
218,2016-08-01,Nevada,4676.0,2629.0,274
219,2016-08-01,Ohio,26261.0,17526.0,1160
220,2016-07-01,Florida,57902.0,28000.0,2324
221,2016-07-01,Iowa,186.0,2227.0,1
222,2016-07-01,Nevada,5194.0,3006.0,308
223,2016-07-01,Ohio,27876.0,17720.0,1232
224,2016-06-01,Florida,55934.0,29501.0,2428
225,2016-06-01,Iowa,129.0,2004.0,8
226,2016-06-01,Nevada,4949.0,3114.0,279
227,2016-06-01,Ohio,24397.0,17086.0,1203
228,2016-05-01,Florida,42845.0,17025.0,1506
229,2016-05-01,Iowa,121.0,1569.0,3
230,2016-05-01,Nevada,4365.0,2329.0,225
231,2016-05-01,Ohio,26069.0,13219.0,973
232,2016-04-01,Florida,48697.0,19716.0,1596
233,2016-04-01,Iowa,184.0,2453.0,2
234,2016-04-01,Nevada,5135.0,2793.0,255
235,2016-04-01,Ohio,32959.0,17664.0,1244
236,2016-03-01,Florida,54164.0,22000.0,1748
237,2016-03-01,Iowa,252.0,3012.0,2
238,2016-03-01,Nevada,6116.0,3062.0,295
239,2016-03-01,Ohio,40331.0,19408.0,1459
240,2016-02-01,Florida,62770.0,25228.0,2138
241,2016-02-01,Iowa,279.0,2859.0,7
242,2016-02-01,Nevada,6643.0,3115.0,333
243,2016-02-01,Ohio,45459.0,20745.0,1873
244,2016-01-01,Florida,62085.0,26356.0,2036
245,2016-01-01,Iowa,292.0,2600.0,9
246,2016-01-01,Nevada,6064.0,2835.0,257
247,2016-01-01,Ohio,38028.0,18613.0,1322
248,2015-12-01,Florida,86940.0,45769.0,3005
249,2015-12-01,Iowa,436.0,5654.0,8
250,2015-12-01,Nevada,9510.0,5088.0,462
251,2015-12-01,Ohio,60280.0,38256.0,2093
252,2015-11-01,Florida,50796.0,28981.0,1957
253,2015-11-01,Iowa,267.0,4596.0,4
254,2015-11-01,Nevada,4889.0,3272.0,287
255,2015-11-01,Ohio,34878.0,31817.0,1483
256,2015-10-01,Florida,45304.0,22587.0,1826
257,2015-10-01,Iowa,172.0,3318.0,4
258,2015-10-01,Nevada,4292.0,2549.0,255
259,2015-10-01,Ohio,27354.0,20613.0,1254
260,2015-09-01,Florida,40647.0,20159.0,1727
261,2015-09-01,Iowa,191.0,2514.0,5
262,2015-09-01,Nevada,4183.0,2499.0,264
263,2015-09-01,Ohio,23309.0,16734.0,1148
264,2015-08-01,Florida,42171.0,20307.0,1700
265,2015-08-01,Iowa,170.0,2288.0,3
266,2015-08-01,Nevada,3949.0,2462.0,234
267,2015-08-01,Ohio,23147.0,15795.0,1031
268,2015-07-01,Florida,42570.0,18069.0,1598
269,2015-07-01,Iowa,120.0,1563.0,3
270,2015-07-01,Nevada,4074.0,2201.0,210
271,2015-07-01,Ohio,23344.0,13252.0,898
272,2015-06-01,Florida,39592.0,17115.0,1395
273,2015-06-01,Iowa,184.0,1634.0,3
274,2015-06-01,Nevada,3778.0,2373.0,190
275,2015-06-01,Ohio,22545.0,13307.0,889
276,2015-05-01,Florida,39775.0,17145.0,1420
277,2015-05-01,Iowa,167.0,1781.0,9
278,2015-05-01,Nevada,4200.0,2611.0,212
279,2015-05-01,Ohio,22978.0,12473.0,958
280,2015-04-01,Florida,40786.0,18180.0,1351
281,2015-04-01,Iowa,211.0,2163.0,4
282,2015-04-01,Nevada,3891.0,2533.0,220
283,2015-04-01,Ohio,26841.0,16124.0,1022
284,2015-03-01,Florida,46739.0,22690.0,1664
285,2015-03-01,Iowa,295.0,3211.0,7
286,2015-03-01,Nevada,4938.0,3075.0,271
287,2015-03-01,Ohio,32293.0,20400.0,1350
288,2015-02-01,Florida,52791.0,24827.0,1974
289,2015-02-01,Iowa,268.0,2984.0,7
290,2015-02-01,Nevada,5338.0,3100.0,271
291,2015-02-01,Ohio,34137.0,18836.0,1595
292,2015-01-01,Florida,43909.0,21939.0,1752
293,2015-01-01,Iowa,197.0,2486.0,9
294,2015-01-01,Nevada,3936.0,2553.0,241
295,2015-01-01,Ohio,26268.0,16186.0,1164
296,2014-12-01,Florida,50412.0,37098.0,1954
297,2014-12-01,Iowa,260.0,5574.0,6
298,2014-12-01,Nevada,5202.0,4356.0,298
299,2014-12-01,Ohio,35658.0,30752.0,1436
300,2014-11-01,Florida,39126.0,30723.0,1805
301,2014-11-01,Iowa,174.0,5018.0,4
302,2014-11-01,Nevada,3807.0,3308.0,236
303,2014-11-01,Ohio,26893.0,32001.0,1294
304,2014-10-01,Florida,38428.0,23668.0,1742
305,2014-10-01,Iowa,176.0,3667.0,3
306,2014-10-01,Nevada,3830.0,2880.0,241
307,2014-10-01,Ohio,25552.0,22111.0,1289
308,2014-09-01,Florida,37253.0,21661.0,1722
309,2014-09-01,Iowa,178.0,2660.0,4
310,2014-09-01,Nevada,3517.0,2803.0,244
311,2014-09-01,Ohio,20852.0,17783.0,1066
312,2014-08-01,Florida,37260.0,19794.0,1649
313,2014-08-01,Iowa,117.0,2205.0,3
314,2014-08-01,Nevada,3749.0,2720.0,268
315,2014-08-01,Ohio,20742.0,16787.0,1031
316,2014-07-01,Florida,33878.0,17356.0,1419
317,2014-07-01,Iowa,119.0,1606.0,2
318,2014-07-01,Nevada,3359.0,2279.0,214
319,2014-07-01,Ohio,19770.0,14202.0,875
320,2014-06-01,Florida,33636.0,17047.0,1403
321,2014-06-01,Iowa,146.0,1614.0,4
322,2014-06-01,Nevada,3695.0,2418.0,220
323,2014-06-01,Ohio,18471.0,13177.0,840
324,2014-05-01,Florida,35254.0,17504.0,1518
325,2014-05-01,Iowa,120.0,1659.0,6
326,2014-05-01,Nevada,3740.0,2535.0,259
327,2014-05-01,Ohio,21891.0,14553.0,1030
328,2014-04-01,Florida,37470.0,19213.0,1476
329,2014-04-01,Iowa,183.0,2379.0,4
330,2014-04-01,Nevada,4030.0,2969.0,205
331,2014-04-01,Ohio,26196.0,18183.0,1161
332,2014-03-01,Florida,42745.0,23125.0,1602
333,2014-03-01,Iowa,237.0,3580.0,6
334,2014-03-01,Nevada,4727.0,3495.0,306
335,2014-03-01,Ohio,32656.0,21426.0,1361
336,2014-02-01,Florida,46802.0,25174.0,2008
337,2014-02-01,Iowa,206.0,2939.0,7
338,2014-02-01,Nevada,5089.0,3284.0,323
339,2014-02-01,Ohio,32864.0,19732.0,1707
340,2014-01-01,Florida,37372.0,22370.0,1519
341,2014-01-01,Iowa,214.0,2413.0,1
342,2014-01-01,Nevada,3683.0,2761.0,261
343,2014-01-01,Ohio,21851.0,14893.0,963
344,2013-12-01,Florida,44668.0,38782.0,1890
345,2013-12-01,Iowa,217.0,5671.0,6
346,2013-12-01,Nevada,5141.0,4866.0,342
347,2013-12-01,Ohio,31976.0,30852.0,1345
348,2013-11-01,Florida,37545.0,30492.0,1622
349,2013-11-01,Iowa,196.0,5246.0,10
350,2013-11-01,Nevada,4165.0,3962.0,303
351,2013-11-01,Ohio,26725.0,29854.0,1341
352,2013-10-01,Florida,34006.0,23276.0,1489
353,2013-10-01,Iowa,212.0,3696.0,6
354,2013-10-01,Nevada,3873.0,3221.0,277
355,2013-10-01,Ohio,23348.0,20561.0,1091
356,2013-09-01,Florida,31866.0,20815.0,1351
357,2013-09-01,Iowa,153.0,3166.0,6
358,2013-09-01,Nevada,3358.0,3109.0,228
359,2013-09-01,Ohio,20526.0,18142.0,995
360,2013-08-01,Florida,35828.0,20307.0,1545
361,2013-08-01,Iowa,223.0,2519.0,2
362,2013-08-01,Nevada,3906.0,3176.0,254
363,2013-08-01,Ohio,21681.0,16535.0,1064
364,2013-07-01,Florida,34204.0,18664.0,1365
365,2013-07-01,Iowa,82.0,1603.0,1
366,2013-07-01,Nevada,3617.0,2706.0,244
367,2013-07-01,Ohio,21099.0,14667.0,877
368,2013-06-01,Florida,33559.0,19343.0,1377
369,2013-06-01,Iowa,74.0,1713.0,3
370,2013-06-01,Nevada,4043.0,3125.0,274
371,2013-06-01,Ohio,20896.0,14770.0,903
372,2013-05-01,Florida,35935.0,21373.0,1488
373,2013-05-01,Iowa,78.0,2016.0,4
374,2013-05-01,Nevada,4426.0,3571.0,315
375,2013-05-01,Ohio,23364.0,15596.0,1034
376,2013-04-01,Florida,41943.0,25404.0,1649
377,2013-04-01,Iowa,120.0,2947.0,2
378,2013-04-01,Nevada,5241.0,4263.0,362
379,2013-04-01,Ohio,31627.0,21579.0,1217
380,2013-03-01,Florida,48586.0,31464.0,1875
381,2013-03-01,Iowa,195.0,4400.0,3
382,2013-03-01,Nevada,6305.0,5169.0,419
383,2013-03-01,Ohio,42641.0,27725.0,1699
384,2013-02-01,Florida,56967.0,34711.0,2495
385,2013-02-01,Iowa,238.0,3995.0,8
386,2013-02-01,Nevada,7432.0,5095.0,516
387,2013-02-01,Ohio,45622.0,26931.0,1955
388,2013-01-01,Florida,68294.0,41844.0,2874
389,2013-01-01,Iowa,344.0,4399.0,13
390,2013-01-01,Nevada,8354.0,5865.0,619
391,2013-01-01,Ohio,49243.0,29034.0,1923
392,2012-12-01,Florida,65872.0,59904.0,3436
393,2012-12-01,Iowa,235.0,8121.0,9
394,2012-12-01,Nevada,9274.0,9429.0,749
395,2012-12-01,Ohio,48667.0,47197.0,2488
396,2012-11-01,Florida,43550.0,37856.0,2187
397,2012-11-01,Iowa,157.0,7217.0,3
398,2012-11-01,Nevada,5795.0,5961.0,486
399,2012-11-01,Ohio,32230.0,36389.0,1726
400,2012-10-01,Florida,35686.0,23640.0,1634
401,2012-10-01,Iowa,128.0,4538.0,10
402,2012-10-01,Nevada,4404.0,3703.0,366
403,2012-10-01,Ohio,23729.0,21397.0,1121
404,2012-09-01,Florida,33996.0,20479.0,1495
405,2012-09-01,Iowa,81.0,3379.0,4
406,2012-09-01,Nevada,4325.0,3638.0,296
407,2012-09-01,Ohio,22700.0,18049.0,1188
408,2012-08-01,Florida,37184.0,20301.0,1558
409,2012-08-01,Iowa,82.0,2810.0,3
410,2012-08-01,Nevada,4693.0,3576.0,324
411,2012-08-01,Ohio,23175.0,16601.0,1009
412,2012-07-01,Florida,34543.0,17864.0,1327
413,2012-07-01,Iowa,73.0,2036.0,2
414,2012-07-01,Nevada,4086.0,3108.0,280
415,2012-07-01,Ohio,20677.0,13904.0,839
416,2012-06-01,Florida,33679.0,17828.0,1302
417,2012-06-01,Iowa,72.0,2177.0,1
418,2012-06-01,Nevada,4141.0,3310.0,263
419,2012-06-01,Ohio,20125.0,14019.0,830
420,2012-05-01,Florida,33310.0,17547.0,1237
421,2012-05-01,Iowa,72.0,1916.0,3
422,2012-05-01,Nevada,4576.0,3268.0,298
423,2012-05-01,Ohio,20446.0,13211.0,810
424,2012-04-01,Florida,34847.0,18257.0,1336
425,2012-04-01,Iowa,116.0,2712.0,8
426,2012-04-01,Nevada,4683.0,3846.0,342
427,2012-04-01,Ohio,25352.0,15717.0,1038
